Symbol,Name,LastSale,NetChange,Change,MarketCap,Volume,Sector,Industry,
AACI,Armada Acquisition Corp. I Common Stock,$9.86,0,0.00%,204195670,1,,,
AACIU,Armada Acquisition Corp. I Unit,$9.83,-0.01,-0.102%,0,3003,,,
AACIW,Armada Acquisition Corp. I Warrant,$0.3182,-0.0018,-0.563%,0,7942,,,
AADI,Aadi Bioscience Inc. Common Stock,$17.21,-0.21,-1.206%,359586239,86866,Health Care,Biotechnology: Pharmaceutical Preparations,
AAL,American Airlines Group Inc. Common Stock,$15.57,1.32,9.263%,10107423022,76269540,Transportation,Air Freight/Delivery Services,
AAME,Atlantic American Corporation Common Stock,$2.35,0.08,3.524%,47889654,15801,Finance,Life Insurance,
AAOI,Applied Optoelectronics Inc. Common Stock,$3.14,0.12,3.974%,86375748,144218,Technology,Semiconductors,
AAON,AAON Inc. Common Stock,$54.20,1.37,2.593%,2847089144,333904,Capital Goods,Industrial Machinery/Components,
AAPL,Apple Inc. Common Stock,$155.09,4.47,2.968%,2688848060600,92862517,Technology,Computer Manufacturing,
AATC,Autoscope Technologies Corporation Common Stock,$6.43,0.02,0.312%,34543362,10654,Capital Goods,Industrial Machinery/Components,
AAWW,Atlas Air Worldwide Holdings NEW Common Stock,$84.21,3.27,4.04%,2460254265,779815,Transportation,Transportation Services,
ABCB,Ameris Bancorp Common Stock,$47.25,0.18,0.382%,3292233053,366470,Finance,Major Banks,
ABEO,Abeona Therapeutics Inc. Common Stock,$0.2586,-0.022,-7.84%,37915393,1702689,Health Care,Biotechnology: Pharmaceutical Preparations,
ABGI,ABG Acquisition Corp. I Class A Ordinary Shares,$9.76,0,0.00%,188685688,108,Finance,Business Services,
ABIO,ARCA biopharma Inc. Common Stock,$2.16,0.06,2.857%,31125909,180328,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,
ABMD,ABIOMED Inc. Common Stock,$289.64,12.09,4.356%,13183312168,242007,Health Care,Medical/Dental Instruments,
ABNB,Airbnb Inc. Class A Common Stock,$143.95,5.45,3.935%,85851637058,5485917,Transportation,Other Consumer Services,
ABOS,Acumen Pharmaceuticals Inc. Common Stock,$5.46,0.17,3.214%,220967964,148632,Health Care,Biotechnology: Pharmaceutical Preparations,
ABSI,Absci Corporation Common Stock,$8.13,0.65,8.69%,752768667,485913,Health Care,Biotechnology: Pharmaceutical Preparations,
ABTX,Allegiance Bancshares Inc. Common Stock,$44.58,-0.06,-0.134%,907971203,54368,Finance,Major Banks,
ABVC,ABVC BioPharma Inc. Common Stock,$2.21,-0.11,-4.741%,63226747,59172,Health Care,Biotechnology: Pharmaceutical Preparations,
ACAB,Atlantic Coastal Acquisition Corp. II Class A Common Stock,$9.88,0,0.00%,0,2,,,
ACABU,Atlantic Coastal Acquisition Corp. II Unit,$9.9596,-0.0204,-0.204%,0,62165,,,
ACAD,ACADIA Pharmaceuticals Inc. Common Stock,$23.05,0.78,3.502%,3715746391,1571578,Health Care,Biotechnology: Pharmaceutical Preparations,
ACAH,Atlantic Coastal Acquisition Corp. Class A Common Stock,$9.77,0.01,0.102%,421331250,166528,,,
ACAHU,Atlantic Coastal Acquisition Corp. Unit,$9.88,0.0437,0.444%,0,100,,,
ACAHW,Atlantic Coastal Acquisition Corp. Warrant,$0.2712,0.0012,0.444%,0,32355,,,
ACAXU,Alset Capital Acquisition Corp. Unit,$9.95,0,0.00%,0,17,,,
ACCD,Accolade Inc. Common Stock,$14.13,1.21,9.365%,946121909,698886,,,
ACER,Acer Therapeutics Inc. Common Stock (DE),$2.36,-0.01,-0.422%,33772176,27432,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),
ACET,Adicet Bio Inc. Common Stock ,$12.97,0.68,5.533%,254080069,532657,Health Care,Biotechnology: Pharmaceutical Preparations,
ACEV,ACE Convergence Acquisition Corp. Class A Ordinary Shares,$10.04,0.01,0.10%,140080861,19328,Technology,Semiconductors,
ACEVW,ACE Convergence Acquisition Corp. Warrant,$0.55,0.0128,2.383%,0,5500,Technology,Semiconductors,
ACHC,Acadia Healthcare Company Inc. Common Stock,$64.34,0.11,0.171%,5784291463,365924,Health Care,Hospital/Nursing Management,
ACHV,Achieve Life Sciences Inc. Common Shares,$6.35,0.05,0.794%,60076302,34792,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,
ACIW,ACI Worldwide Inc. Common Stock,$31.99,0.49,1.556%,3680886387,485310,Technology,EDP Services,
ACKIT,Ackrell SPAC Partners I Co. Subunits,$10.20,0,0.00%,0,45,,,
ACKIU,Ackrell SPAC Partners I Co. Units,$10.38,0,0.00%,0,21,,,
ACKIW,Ackrell SPAC Partners I Co. Warrants,$0.37,0.015,4.225%,0,1297,,,
ACLS,Axcelis Technologies Inc. Common Stock,$64.43,5.26,8.89%,2142379906,529177,Technology,Industrial Machinery/Components,
ACLX,Arcellx Inc. Common Stock,$17.02,0.67,4.098%,591973199,117507,Health Care,Biotechnology: Pharmaceutical Preparations,
ACMR,ACM Research Inc. Class A Common Stock,$47.30,1.23,2.67%,926077051,1141641,Technology,Industrial Machinery/Components,
ACNB,ACNB Corporation Common Stock,$32.60,-0.06,-0.184%,282942116,45586,Finance,Major Banks,
ACOR,Acorda Therapeutics Inc. Common Stock,$1.67,-0.12,-6.704%,18707744,156057,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),
ACQR,Independence Holdings Corp. Class A Ordinary Share,$9.74,0,0.00%,602962229,16790,Finance,Business Services,
ACQRU,Independence Holdings Corp. Units,$9.80,0,0.00%,0,3802,Finance,Business Services,
ACQRW,Independence Holdings Corp. Warrant,$0.3936,-0.0374,-8.677%,0,77569,Finance,Business Services,
ACRS,Aclaris Therapeutics Inc. Common Stock,$15.20,0.8,5.556%,931380502,515523,Health Care,Biotechnology: Commercial Physical & Biological Resarch,
ACRX,AcelRx Pharmaceuticals Inc. Common Stock,$0.3078,-0.0121,-3.782%,45231001,900865,Consumer Durables,Specialty Chemicals,
ACT,Enact Holdings Inc. Common Stock,$21.25,0.01,0.047%,3460375585,90686,Finance,Specialty Insurers,
ACTD,ArcLight Clean Transition Corp. II Class A Ordinary Share,$9.91,0.04,0.405%,385453226,139188,,,
ACTDU,ArcLight Clean Transition Corp. II Unit,$10.09,0.02,0.199%,0,848,,,
ACTDW,ArcLight Clean Transition Corp. II Warrant,$1.15,-0.02,-1.709%,0,1019,Finance,Business Services,
ACTG,Acacia Research Corporation (Acacia Tech) Common Stock,$3.70,0.35,10.448%,183489852,283048,Miscellaneous,Multi-Sector Companies,
ACVA,ACV Auctions Inc. Class A Common Stock,$12.91,0.68,5.56%,2017401199,810348,Technology,EDP Services,
ACXP,Acurx Pharmaceuticals Inc. Common Stock,$3.73,0.01,0.269%,38104904,7540,Health Care,Biotechnology: Pharmaceutical Preparations,
ADAL,Anthemis Digital Acquisitions I Corp Class A Ordinary Shares,$9.91,-0.01,-0.101%,299158125,4059,,,
ADALU,Anthemis Digital Acquisitions I Corp Unit,$10.0502,0,0.00%,0,1,,,
ADALW,Anthemis Digital Acquisitions I Corp Warrant,$0.29,-0.04,-12.121%,0,5911,,,
ADBE,Adobe Inc. Common Stock,$421.66,10.16,2.469%,199171408390,3201111,Technology,Computer Software: Prepackaged Software,
ADER,26 Capital Acquisition Corp. Class A Common Stock,$9.80,-0.05,-0.508%,336875000,95993,,,
ADERU,26 Capital Acquisition Corp. Unit,$10.07,0,0.00%,0,55,,,
ADERW,26 Capital Acquisition Corp. Warrant,$0.50,0.03,6.383%,0,16206,,,
ADES,Advanced Emissions Solutions Inc. Common Stock,$5.82,-0.03,-0.513%,109654620,94841,Basic Industries,Industrial Specialties,
ADGI,Adagio Therapeutics Inc. Common Stock,$4.73,0.08,1.72%,526220352,793246,Health Care,Biotechnology: Pharmaceutical Preparations,
ADI,Analog Devices Inc. Common Stock,$150.92,5.29,3.632%,78978719420,3307862,Technology,Semiconductors,
ADIL,Adial Pharmaceuticals Inc Common Stock,$1.83,0.03,1.667%,43405700,69178,Health Care,Biotechnology: Pharmaceutical Preparations,
ADMA,ADMA Biologics Inc Common Stock,$1.55,-0.11,-6.627%,303511416,2276346,Health Care,Biotechnology: Pharmaceutical Preparations,
ADMP,Adamis Pharmaceuticals Corporation Common Stock,$0.5546,-0.0354,-6.00%,82572254,870884,Health Care,Biotechnology: Pharmaceutical Preparations,
ADN,Advent Technologies Holdings Inc. Class A Common Stock,$2.86,-0.03,-1.038%,58453275,358358,,,
ADNWW,Advent Technologies Holdings Inc. Warrant,$0.51,-0.05,-8.929%,0,25893,,,
ADOC,Edoc Acquisition Corp. Class A Ordinary Share,$10.14,0,0.00%,55539234,51,Finance,Business Services,
ADOCW,Edoc Acquisition Corp. Warrant,$0.0828,0.0027,3.371%,0,7500,Finance,Business Services,
ADP,Automatic Data Processing Inc. Common Stock,$212.31,5.31,2.565%,89179810212,2220155,Miscellaneous,Business Services,
ADPT,Adaptive Biotechnologies Corporation Common Stock,$10.75,0.63,6.225%,1522024990,2321800,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),
ADSK,Autodesk Inc. Common Stock,$192.43,3.73,1.977%,42329484633,1696692,Technology,Computer Software: Prepackaged Software,
ADTH,AdTheorent Holding Company Inc. Common Stock,$9.46,0.25,2.714%,811138183,291093,Technology,Advertising,
ADTHW,AdTheorent Holding Company Inc. Warrants,$1.47,0.06,4.255%,0,87731,Technology,Advertising,
ADTN,ADTRAN Inc. Common Stock,$19.45,0.33,1.726%,955339810,333494,Capital Goods,Telecommunications Equipment,
ADTX,Aditxt Inc. Common Stock,$0.356,0.0111,3.218%,15664000,240175,Consumer Durables,Specialty Chemicals,
ADUS,Addus HomeCare Corporation Common Stock,$75.92,1.42,1.906%,1211075916,61757,Health Care,Medical/Nursing Services,
ADV,Advantage Solutions Inc. Class A Common Stock,$6.02,-0.08,-1.311%,1915064966,256961,Technology,Advertising,
ADVM,Adverum Biotechnologies Inc. Common Stock,$1.23,0,0.00%,120727071,674991,Health Care,Biotechnology: Pharmaceutical Preparations,
ADVWW,Advantage Solutions Inc. Warrant,$0.74,-0.0198,-2.606%,0,3467,Technology,Advertising,
AEAC,Authentic Equity Acquisition Corp. Class A ordinary share,$9.78,0,0.00%,293400000,53093,Finance,Business Services,
AEACU,Authentic Equity Acquisition Corp. Unit,$9.90,-0.02,-0.202%,0,105250,Finance,Business Services,
AEACW,Authentic Equity Acquisition Corp. Warrant,$0.27,-0.02,-6.897%,0,17986,Finance,Business Services,
AEAE,AltEnergy Acquisition Corp. Class A Common Stock,$9.935,0.015,0.151%,0,250001,,,
AEAEU,AltEnergy Acquisition Corp. Unit,$9.91,-0.07,-0.701%,0,5000,,,
AEAEW,AltEnergy Acquisition Corp. Warrant,$0.2665,-0.0329,-10.989%,0,3000,,,
AEHA,Aesther Healthcare Acquisition Corp Class A Common Stock,$10.06,0,0.00%,133043500,17620,,,
AEHAW,Aesther Healthcare Acquisition Corp Warrants,$0.25,0,0.00%,0,800,,,
AEHR,Aehr Test Systems Common Stock,$9.34,0.28,3.091%,250702589,811103,Capital Goods,Electrical Products,
AEI,Alset EHome International Inc. Common Stock,$0.4215,-0.0587,-12.224%,42389600,11786953,Consumer Services,Building operators,
AEIS,Advanced Energy Industries Inc. Common Stock,$82.74,4.32,5.509%,3116785600,140592,Consumer Durables,Electrical Products,
AEMD,Aethlon Medical Inc. Common Stock,$1.23,0.02,1.653%,18952124,53538,Miscellaneous,Diversified Commercial Services,
AEP,American Electric Power Company Inc. Common Stock,$96.11,1.37,1.446%,48459816762,3673650,Public Utilities,Electric Utilities: Central,
AEPPZ,American Electric Power Company Inc. Corporate Units,$55.43,0.66,1.205%,0,48331,Public Utilities,Electric Utilities: Central,
AERC,AeroClean Technologies Inc. Common Stock,$3.42,-0.28,-7.568%,47461515,147188,Public Utilities,Environmental Services,
AERI,Aerie Pharmaceuticals Inc. Common Stock,$8.23,-0.03,-0.363%,398265123,694188,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),
